subscription,resource_group
sub-lha-data-prod,rg-lha-data-k8s-services-prod-cus-dc2e
sub-lha-data-prod,rg-lha-data-log-analytics-prod-cus-9dc5
sub-lha-data-prod,rg-lha-data-prod-cus-df58
sub-lha-data-prod,rg-lha-data-reliable-payload-prod-cus-55c3
sub-lha-data-prod,rg-lha-data-road-network-prod-cus-fc4b
sub-lha-data-prod,rg-lha-data-road-quality-prod-cus-a296
sub-lha-data-prod,rg-lha-data-sendgrid-prod-cus-e4d7
sub-lha-data-prod,rg-lha-data-sic-graphs-prod-cus-7dcb
sub-lha-data-prod,rg-lha-data-tire-temperature-prod-cus-09b4
sub-pro-dev,ai_appi-pro-hvc-master-gen-adf-orchestratio_f66b9eee-412d-41d9-83fa-82b65fdd3a6c_managed
sub-pro-dev,ai_appi-pro-ots-dev-5aef_03d4b1dd-ba0d-4b18-9ba7-fdbf189efce9_managed
sub-pro-dev,databricks-rg-rg-pro-databricks-dev-cus-17a8
sub-pro-dev,managed-rg-pro-dev-cus-01
sub-pro-dev,NetworkWatcherRG
sub-pro-dev,rg-pro-common-dev-cus-e01a
sub-pro-dev,rg-pro-data-dev-cus-90d3
sub-pro-dev,rg-pro-databricks-dev-cus-17a8
sub-pro-dev,rg-pro-dev-cus-e610
sub-pro-dev,rg-pro-hvc-bo-dev-cus-092a
sub-pro-dev,rg-pro-hvc-data-dev-cus-ed4c
sub-pro-dev,rg-pro-hvc-fo-dev-cus-6497
sub-pro-dev,rg-pro-hvc-master-gen-dev-cus-4be2
sub-pro-dev,rg-pro-ots-dev-cus-90bd
sub-pro-dev,rg-pro-smplus-dev-cus-cd21
sub-pro-dev,synapseworkspace-managedrg-99c43aa1-186c-4a52-9811-adce0ae4f570
sub-pro-prod,ai_appi-pro-hvc-master-gen-adf-orchestratio_3dc58ea5-9837-4877-b353-c4b381f86b4c_managed
sub-pro-prod,ai_appi-pro-ots-prod-4e2b_ccf4106e-b067-4b9a-be5b-541c923f68e8_managed
sub-pro-prod,databricks-rg-rg-pro-databricks-prod-cus-ec99
sub-pro-prod,managed-rg-pro-prod-cus-01
sub-pro-prod,NetworkWatcherRG
sub-pro-prod,rg-pro-apcm-prod-cus-60ca
sub-pro-prod,rg-pro-coal-aa-prod-cus-7e1e
sub-pro-prod,rg-pro-common-prod-cus-6e8d
sub-pro-prod,rg-pro-data-prod-cus-975b
sub-pro-prod,rg-pro-databricks-prod-cus-ec99
sub-pro-prod,rg-pro-elt-prod-cus-be6c
sub-pro-prod,rg-pro-fro-data-prod-cus-dbec
sub-pro-prod,rg-pro-gho-data-prod-cus-6541
sub-pro-prod,rg-pro-hvc-bo-prod-cus-0300
sub-pro-prod,rg-pro-hvc-data-prod-cus-7967
sub-pro-prod,rg-pro-hvc-fo-prod-cus-2852
sub-pro-prod,rg-pro-hvc-master-gen-prod-cus-c3a1
sub-pro-prod,rg-pro-lco-data-prod-cus-cfaa
sub-pro-prod,rg-pro-ots-prod-cus-a65a
sub-pro-prod,rg-pro-prod-cus-4698
sub-pro-prod,rg-pro-prod-cus-4de0
sub-pro-prod,rg-pro-smplus-prod-cus-e9bd
sub-pro-prod,synapseworkspace-managedrg-4c2d04fe-c4d1-4275-943e-3c7f9e082b3d
